Date,Balance,Equity
2024-02-07,3538,3538
2024-02-08,3538,3550
2024-02-09,3519,3519
2024-02-10,3519,3519
2024-02-11,3519,3519
2024-02-12,3519,3519
2024-02-13,3519,3519
2024-02-14,3519,3433
2024-02-15,3535,3632
2024-02-16,3584,3584
2024-02-17,3584,3584
2024-02-18,3584,3584
2024-02-19,3584,3628
2024-02-20,3613,3613
2024-02-21,3613,3613
2024-02-22,3613,3613
2024-02-23,3613,3613
2024-02-24,3613,3613
2024-02-25,3613,3613
2024-02-26,3622,3622
2024-02-27,3622,3622
2024-02-28,3622,3622
2024-02-29,3622,3622
2024-03-01,3622,3622
2024-03-02,3622,3622
2024-03-03,3622,3622
2024-03-04,3622,3622
2024-03-05,3622,3622
2024-03-06,3622,3622
2024-03-07,3622,3508
2024-03-08,3511,3511
2024-03-09,3511,3511
2024-03-10,3511,3511
2024-03-11,3511,3511
2024-03-12,3511,3511
2024-03-13,3511,3511
2024-03-14,3511,3516
2024-03-15,3541,3541
2024-03-16,3541,3541
2024-03-17,3541,3541
2024-03-18,3541,3541
2024-03-19,3541,3541
2024-03-20,3541,3541
2024-03-21,3541,3518
2024-03-22,3389,3389
2024-03-23,3389,3389
2024-03-24,3389,3389
2024-03-25,3410,3410
2024-03-26,3410,3410
2024-03-27,3410,3410
2024-03-28,3410,3410
2024-03-29,3396,3396
2024-03-30,3396,3396
2024-03-31,3396,3396
2024-04-01,3396,3396
2024-04-02,3396,3396
2024-04-03,3396,3396
2024-04-04,3396,3277
2024-04-05,3113,3113
2024-04-06,3113,3113
2024-04-07,3113,3113
2024-04-08,3113,3113
2024-04-09,3113,3123
2024-04-10,3097,3097
2024-04-11,3097,3111
2024-04-12,2980,2980
2024-04-13,2980,2980
2024-04-14,2980,2980
2024-04-15,2980,2980
2024-04-16,2980,2980
2024-04-17,2980,2980
2024-04-18,2980,2971
2024-04-19,3051,3051
2024-04-20,3051,3051
2024-04-21,3051,3051
2024-04-22,3051,3051
2024-04-23,3051,3051
2024-04-24,3051,3055
2024-04-25,3064,3064
2024-04-26,3014,3014
2024-04-27,3014,3014
2024-04-28,3014,3014
2024-04-29,3014,3014
2024-04-30,2959,2959
2024-05-01,2959,2959
2024-05-02,2959,2959
2024-05-03,2959,2959
2024-05-04,2959,2959
2024-05-05,2959,2959
2024-05-06,2959,2959
2024-05-07,2959,2959
2024-05-08,2959,2959
2024-05-09,2959,2914
2024-05-10,2944,2944
2024-05-11,2944,2944
2024-05-12,2944,2944
2024-05-13,2944,2944
2024-05-14,2944,2959
2024-05-15,2963,2963
2024-05-16,2963,2955
2024-05-17,2929,2929
2024-05-18,2929,2929
2024-05-19,2929,2929
2024-05-20,2929,2929
2024-05-21,2929,2929
2024-05-22,2929,2929
2024-05-23,2929,2939
2024-05-24,2964,2964
2024-05-25,2964,2964
2024-05-26,2964,2964
2024-05-27,2987,2987
2024-05-28,2987,2987
2024-05-29,2987,2987
2024-05-30,2987,2987
2024-05-31,2961,2961
2024-06-01,2961,2961
2024-06-02,2961,2961
2024-06-03,2961,2961
2024-06-04,2961,2961
2024-06-05,2961,2961
2024-06-06,2961,2961
2024-06-07,2961,2961
2024-06-08,2961,2961
2024-06-09,2961,2961
2024-06-10,2961,2961
2024-06-11,2961,2961
2024-06-12,2961,2961
2024-06-13,2961,3033
2024-06-14,3030,3030
