Date,Balance,Equity
2024-02-08,6176,6176
2024-02-09,6176,6176
2024-02-10,6176,6176
2024-02-11,6176,6176
2024-02-12,6176,6176
2024-02-13,6176,6176
2024-02-14,6176,6176
2024-02-15,6176,6176
2024-02-16,6176,6176
2024-02-17,6176,6176
2024-02-18,6176,6176
2024-02-19,6176,6176
2024-02-20,6176,6148
2024-02-21,6174,6134
2024-02-22,6194,6194
2024-02-23,6210,6210
2024-02-24,6210,6210
2024-02-25,6210,6210
2024-02-26,6214,6216
2024-02-27,6212,6212
2024-02-28,6212,6212
2024-02-29,6212,6212
2024-03-01,6212,6212
2024-03-02,6212,6212
2024-03-03,6212,6212
2024-03-04,6212,6212
2024-03-05,6215,6215
2024-03-06,6215,6215
2024-03-07,6215,6069
2024-03-08,6215,5893
2024-03-09,6215,5893
2024-03-10,6215,5909
2024-03-11,6212,6212
2024-03-12,6212,6212
2024-03-13,6212,6212
2024-03-14,6210,6194
2024-03-15,6216,6216
2024-03-16,6216,6216
2024-03-17,6216,6216
2024-03-18,6214,6214
2024-03-19,6370,6370
2024-03-20,6370,6370
2024-03-21,6370,6370
2024-03-22,6370,6270
2024-03-23,6370,6270
2024-03-24,6370,6263
2024-03-25,6371,6371
2024-03-26,6371,6371
2024-03-27,6371,6371
2024-03-28,6377,6377
2024-03-29,6385,6385
2024-03-30,6385,6385
2024-03-31,6385,6385
2024-04-01,6385,6385
2024-04-02,6412,6412
2024-04-03,6412,6412
2024-04-04,6412,6412
2024-04-05,6412,6412
2024-04-06,6412,6412
2024-04-07,6412,6412
2024-04-08,6412,6412
2024-04-09,6466,6466
2024-04-10,6465,6465
2024-04-11,6465,6465
2024-04-12,6465,6272
2024-04-13,6465,6271
2024-04-14,6465,6300
2024-04-15,6463,6296
2024-04-16,6463,6235
2024-04-17,6470,6470
2024-04-18,6472,6472
2024-04-19,6472,6472
2024-04-20,6472,6472
2024-04-21,6472,6472
2024-04-22,6483,6483
2024-04-23,6483,6479
2024-04-24,6483,6483
2024-04-25,6502,6502
2024-04-26,6500,6500
2024-04-27,6500,6500
2024-04-28,6500,6500
2024-04-29,6500,6500
2024-04-30,6500,6500
2024-05-01,6514,6514
2024-05-02,6514,6514
2024-05-03,6507,6486
2024-05-04,6507,6487
2024-05-05,6507,6496
2024-05-06,6507,6480
2024-05-07,6510,6510
2024-05-08,6529,6529
2024-05-09,6529,6529
2024-05-10,6529,6529
2024-05-11,6529,6529
2024-05-12,6529,6529
2024-05-13,6529,6529
2024-05-14,6539,6542
2024-05-15,6541,6541
2024-05-16,6548,6548
2024-05-17,6549,6549
2024-05-18,6549,6549
2024-05-19,6549,6549
2024-05-20,6547,6547
2024-05-21,6553,6553
2024-05-22,6563,6563
2024-05-23,6563,6563
2024-05-24,6563,6563
2024-05-25,6563,6563
2024-05-26,6563,6563
2024-05-27,6558,6558
2024-05-28,6558,6558
2024-05-29,6558,6558
2024-05-30,6558,6558
2024-05-31,6558,6558
2024-06-01,6558,6558
2024-06-02,6558,6558
2024-06-03,6558,6558
2024-06-04,6558,6558
2024-06-05,6558,6558
2024-06-06,6558,6558
2024-06-07,7012,7012
2024-06-08,7012,7012
2024-06-09,7012,7012
2024-06-10,7012,7012
2024-06-11,7012,7012
2024-06-12,7166,7166
